Sta,Lon,Lat,de(m),dn(m),du(m),sde(m),sdn(m),sdu(m)
HAAR,-145.1571,62.4074,-0.00114,-0.00035,-0.00041,0.0005,0.0006,0.00189
HDPW,-151.5312,59.6417,-0.00179,-0.00146,0.00401,0.0005,0.00061,0.00192
HOLB,-128.135,50.6404,-0.00273,0.00114,-0.00153,0.00034,0.00041,0.0013
INVK,-133.527,68.3062,-0.00084,-0.0015,0.01448,0.00112,0.00135,0.00427
KTMT,-128.5981,54.086,-0.00169,-0.00004,0.00792,0.00055,0.00067,0.00211
MAPS,-166.9405,53.8081,-0.00201,-0.00496,-0.00121,0.00049,0.00059,0.00186
MCES,-151.2578,59.7461,-0.00326,-0.0002,-0.00131,0.00049,0.00059,0.00185
MREP,-166.7483,53.8096,-0.00259,-0.00163,-0.00436,0.00047,0.00057,0.00181
MSWB,-166.7879,53.9147,0.00093,-0.0025,-0.00677,0.00048,0.00058,0.00183
NWEL,-126.7141,65.2957,-0.00271,0.00044,0.01834,0.00147,0.00178,0.00562
OKFG,-167.9116,53.4107,0.00149,-0.00086,-0.00136,0.00047,0.00057,0.0018
OKSO,-168.162,53.3565,-0.00376,0.00163,-0.00912,0.0005,0.0006,0.0019
PBAY,-151.2722,59.5727,0.00013,-0.00136,0.00555,0.00048,0.00058,0.00184
PFR2,-147.4331,65.1174,-0.00298,-0.00126,-0.0001,0.00052,0.00063,0.00199
PFRR,-147.4331,65.1174,-0.00191,-0.00053,-0.00023,0.00054,0.00065,0.00205
PMKZ,-149.9232,61.2837,-0.00213,-0.0003,-0.00597,0.00064,0.00077,0.00244
RDSO,-152.7449,60.4536,-0.00158,-0.0038,0.00435,0.00051,0.00062,0.00195
SELD,-151.7067,59.4457,0.00002,-0.00409,0.0101,0.00057,0.00069,0.00217
SG27,-156.6103,71.3229,-0.00169,0.00078,-0.00595,0.00061,0.00073,0.00232
SMTH,-127.1869,54.8238,-0.00129,0.00406,-0.00725,0.00049,0.00059,0.00186
SPBG,-152.3724,61.2592,-0.00343,-0.00101,0.001,0.00053,0.00064,0.00202
SPCR,-152.2092,61.2003,-0.00229,-0.0022,0.00298,0.00054,0.00065,0.00206
SPIT,-151.427,59.6081,-0.00221,-0.00187,0.00114,0.00048,0.00058,0.00184
STEM,-149.3269,61.5496,-0.0006,-0.00223,-0.00079,0.00058,0.0007,0.00223
TBON,-149.7851,61.1797,-0.00311,-0.00217,-0.00285,0.00035,0.00043,0.00135
TLK2,-149.5954,68.628,-0.00789,0.00215,-0.01273,0.00063,0.00076,0.0024
TSEA,-149.895,61.1873,0.0027,-0.0013,0.00138,0.00037,0.00045,0.00141
TUKT,-132.9943,69.4382,-0.0015,0.00112,0.00908,0.00071,0.00085,0.0027
WAAK,-149.5539,61.5679,-0.00066,-0.00025,0.0015,0.00058,0.0007,0.00222
WHIT,-135.2221,60.7505,-0.00051,-0.00022,-0.00423,0.00035,0.00042,0.00133
WIKR,-150.9222,63.5527,-0.00232,-0.0013,-0.00537,0.0005,0.0006,0.0019
ZINA,-143.0241,61.3835,-0.00122,0.00153,-0.00429,0.00051,0.00061,0.00194
